id,Title,Content
2,"About Us","Recognizing the need for a more efficient, cost-effective way to deliver a higher level of third party administration services and benefit consulting, President &amp; CEO Howard Lancaster formed Insight Benefit Administrators.

Along with complete TPA services Insight Benefit Administrators offers benefits audit/consulting services.  Leveraging our substantial expertise and experience, we can provide an objective review of plan administration, employee communications, compliance and more.

<strong>Our mission</strong>
<span style=""text-decoration: underline;"">For our clients</span>
We strive to:
•    actively seek feedback from your, our clients, your employees and the agent/broker community
•    continually evaluate product and service alternatives
•    to educate you and your employees
The Insight team approaches each covered member with caring, educational support and  experience while maintaining the highest ethical standards and confidentiality.
<span style=""text-decoration: underline;"">For our employees</span>
Insight promotes freedom of opinion, ideas and expression; provides opportunities for professional growth; and is strives to maintain essential work-life balance.
<span style=""text-decoration: underline;""> For the communities we serve</span>

Our social mission is to provide educational and financial support for pediatric dental care to underinsured and uninsured children.  (To learn more contact howardl@insightba.net.)
We welcome your questions and suggestions. Use our Contact Us page to reach any one of us."
11,"Request a quote","Thank you! We're happy to show you options.

Need something else? Use our <a title=""Contact Us"" href=""/contact/"">Contact Us</a> page.

[ninja_forms id=2]"
19,"Contact Us","Questions? Comments? Want to talk?  We'll get right back to you.

<strong>President &amp; CEO</strong>

Howard Lancaster

<a href=""mailto:howardl@insightba.net"">howardl@insightba.net</a>

616.826.7205

<strong>Sales and Underwriting/Stop Loss/Vendor Management</strong>

XXX

Howard Lancaster

<a href=""http://howardl@insightba.net"">http://howardl@insightba.net</a>

<strong>Implementation/Enrollment &amp; Fulfillment</strong>

Linda Beyer

<a href=""mailto:lindab@insightba.net"">lindab@insightba.net</a>

xxx

xxx insightba.net

Howard Lancaster

<a href=""http://howardl@insightba.net"">http://howardl@insightba.net</a>

Carla Moriarty

<a href=""http://carlam@insightba.net"">http://carlam@insightba.net</a>

<strong>Account Management/Renewals</strong>

Linda Beyer

<a href=""http://lindab@insightba.net"">http://lindab@insightba.net</a>

Carla Moriarty

<a href=""http://carlam@insightba.net"">http://carlam@insightba.net</a>

&nbsp;

<strong>Claims Administration</strong>

TBD

email

phone

&nbsp;

[ninja_forms id=1]"
147,"About Self Funding","To begin, let us define a few terms for you:

ASO - Administrative Services Only

Self-Funding -

TPA  .......

<strong>  </strong>

&nbsp;

Self Funding with Insight Benefit Administrators has many advantages:
<ul>
 	<li>We administer the plan to suit your particular needs</li>
 	<li>We bring you with the best of the best benefits providers</li>
 	<li>You  have more control and flexibility with benefits offered</li>
 	<li>Administrative costs are lower</li>
 	<li>You don't have to  pay premium taxes</li>
 	<li>You don't have to offer state mandated benefits LINK</li>
 	<li>You're free from many ACA fees LINK DETAILS</li>
 	<li>Your risk is managed with Stop Loss insurance LINK</li>
 	<li>You have a clearer understanding of how your dollars are spent</li>
</ul>
While there are more administrative decisions for you to make, we're here to guide you.

It's important to understand that Self Funding is a <em>long term strategy</em>.  WHY

&nbsp;"
149,"Products & Services",
151,"Consulting Services","Vendor Procurement
<ul>
 	<li>Billing &amp; Enrollment Functionality</li>
 	<li>Health &amp; Wellness</li>
 	<li>Case and Disease Management</li>
 	<li>Pharmacy Benefit Management</li>
</ul>
Corporate Project Management
<ul>
 	<li>Product Development</li>
 	<li>Process Improvement</li>
 	<li>Policies &amp; Procedures</li>
</ul>
Client Services &amp; Retention
<ul>
 	<li>New Group Implementation</li>
 	<li>Retention/Renewal Strategies</li>
 	<li>Reporting</li>
 	<li>Plan Design</li>
</ul>
Audit of Administrative Services
<ul>
 	<li>Summary Plan Documentation</li>
 	<li>Eligibility and Enrollment</li>
 	<li>System Configuration</li>
 	<li>Stop Loss Administration</li>
</ul>"
153,"Vendor Procurement","Vendor Procurement Services through IBA allows for an objective review in establishing new vendor relationships. IBA performs internal discovery, identifies the common goals for the organization, establishes the benchmarks and navigates the Request For Proposal (RFP) process. Once the vendor is selected, the IBA team follows a project plan to manage the implementation process and ensure timelines are adhered to, proactively identifying changing priorities and allocating resources accordingly. IBA provides post-implementation review of the deliverables to ensure all contract terms and any related Service Level Agreements (SLA) are met.

IBA key components to successful new vendor initiatives include:
<ul>
 	<li>Discovery</li>
 	<li>Competency Review</li>
 	<li>Contract Review</li>
 	<li>Project Plan/Implementation Oversight</li>
 	<li>Post-Review Audit of Deliverables</li>
</ul>
Our experience in new vendor implementation includes Billing and Enrollment support, Case Management, Pharmacy Benefit Management, Benefit Profiling and more."
155,"Client Services and Retention","Client Relations is the cornerstone of any organization’s success. Successful management of new clients translates into higher retention and lower administration costs. The IBA team assists organizations in identifying inconsistencies in the retention strategies and developing new strategies where none exist. IBA also works to identify cultural gaps within the organization that are impeding successful client interface.

IBA key components to improved client relations include:
<ul>
 	<li>Building a client-centric model for the organization (Cultural Integration)</li>
 	<li>Establishing common goals for and expectations of the client-facing staff</li>
 	<li>Identifying staff technical competency and training opportunities</li>
 	<li>Defining a consistent approach to new group implementation and renewals</li>
 	<li>Determining client key deliverables and exceeding those expectations</li>
</ul>
Our experience in client relationship management provides perspective on how to bring value to each client touch point to ensure that every experience is timely, accurate and value added."
157,"Corporate Project Management","Corporate Initiatives require a high level of oversight from multiple executives and senior management across multiple departments. Challenges present themselves in the form of other company initiatives, competing interests and managing other day-to-day responsibilities. IBA assumes the responsibility of collaborating to provide effective oversight of new corporate initiatives.

IBA key components to successful corporate initiatives include:
<ul>
 	<li>Identifying the resources and costs associated with the project (Scope of Project)</li>
 	<li>Building a collaborative model for the organization (Departmental Integration)</li>
 	<li>Managing all aspects of the project in a shared environment</li>
 	<li>Providing written policies and procedures on newly implemented projects</li>
</ul>
Our experience in TQM, policy and procedures and project management ensures that projects are clearly defined, goals are consistently met and policies and procedures are thoroughly documented."
160,"Administrative Services Auditing","Auditing a current vendor is always a touchy subject. The word alone implies finding things “wrong” with the way administrative services are being provided. And while we want to trust that our providers are doing their best to provide clients with accurate and compliant service, the final proof is still in the audit results.

IBA offers a way to provide an impartial third-party look at how your vendors are measuring up. We know where to look and how to effectively message the findings as process improvement opportunities while taking you and your client out of the middle of having these difficult conversations.

IBA key components to a successful audit initiative include:
<ul>
 	<li>Performing an audit that is minimally intrusive but maximizes discoveries</li>
 	<li>Reporting of discoveries/deficiencies in a comprehensive way</li>
 	<li>Delivering a clear set of next steps: suggested language changes, policy/procedure updates and governance reporting</li>
</ul>
Our experience is in knowing where opportunities are most likely to exist. The result is process improvements that translate into future cost savings and potentially avoiding compliance issue"
